edge,protein
"['ICD9 427', 'ICD9 079']",183
"['ICD9 427', 'ICD9 079']",287
"['ICD9 427', 'ICD9 079']",427
"['ICD9 427', 'ICD9 079']",463
"['ICD9 427', 'ICD9 079']",551
"['ICD9 427', 'ICD9 079']",611
"['ICD9 427', 'ICD9 079']",775
"['ICD9 427', 'ICD9 079']",776
"['ICD9 427', 'ICD9 079']",781
"['ICD9 427', 'ICD9 079']",783
"['ICD9 427', 'ICD9 079']",801
"['ICD9 427', 'ICD9 079']",805
"['ICD9 427', 'ICD9 079']",808
"['ICD9 427', 'ICD9 079']",813
"['ICD9 427', 'ICD9 079']",817
"['ICD9 427', 'ICD9 079']",845
"['ICD9 427', 'ICD9 079']",857
"['ICD9 427', 'ICD9 079']",858
"['ICD9 427', 'ICD9 079']",1021
"['ICD9 427', 'ICD9 079']",1026
"['ICD9 427', 'ICD9 079']",1073
"['ICD9 427', 'ICD9 079']",1081
"['ICD9 427', 'ICD9 079']",1482
"['ICD9 427', 'ICD9 079']",1557
"['ICD9 427', 'ICD9 079']",1636
"['ICD9 427', 'ICD9 079']",1674
"['ICD9 427', 'ICD9 079']",1804
"['ICD9 427', 'ICD9 079']",1906
"['ICD9 427', 'ICD9 079']",2042
"['ICD9 427', 'ICD9 079']",2056
"['ICD9 427', 'ICD9 079']",2066
"['ICD9 427', 'ICD9 079']",2100
"['ICD9 427', 'ICD9 079']",2250
"['ICD9 427', 'ICD9 079']",2626
"['ICD9 427', 'ICD9 079']",2697
"['ICD9 427', 'ICD9 079']",2702
"['ICD9 427', 'ICD9 079']",2771
"['ICD9 427', 'ICD9 079']",2908
"['ICD9 427', 'ICD9 079']",2969
"['ICD9 427', 'ICD9 079']",2992
"['ICD9 427', 'ICD9 079']",2995
"['ICD9 427', 'ICD9 079']",3298
"['ICD9 427', 'ICD9 079']",3339
"['ICD9 427', 'ICD9 079']",3360
"['ICD9 427', 'ICD9 079']",3458
"['ICD9 427', 'ICD9 079']",3480
"['ICD9 427', 'ICD9 079']",3630
"['ICD9 427', 'ICD9 079']",3741
"['ICD9 427', 'ICD9 079']",3752
"['ICD9 427', 'ICD9 079']",3753
"['ICD9 427', 'ICD9 079']",3757
"['ICD9 427', 'ICD9 079']",3759
"['ICD9 427', 'ICD9 079']",3762
"['ICD9 427', 'ICD9 079']",3764
"['ICD9 427', 'ICD9 079']",3781
"['ICD9 427', 'ICD9 079']",3782
"['ICD9 427', 'ICD9 079']",3784
"['ICD9 427', 'ICD9 079']",3797
"['ICD9 427', 'ICD9 079']",3827
"['ICD9 427', 'ICD9 079']",4092
"['ICD9 427', 'ICD9 079']",4137
"['ICD9 427', 'ICD9 079']",4624
"['ICD9 427', 'ICD9 079']",4625
"['ICD9 427', 'ICD9 079']",4641
"['ICD9 427', 'ICD9 079']",4666
"['ICD9 427', 'ICD9 079']",4846
"['ICD9 427', 'ICD9 079']",4879
"['ICD9 427', 'ICD9 079']",4986
"['ICD9 427', 'ICD9 079']",4987
"['ICD9 427', 'ICD9 079']",5062
"['ICD9 427', 'ICD9 079']",5308
"['ICD9 427', 'ICD9 079']",5318
"['ICD9 427', 'ICD9 079']",5328
"['ICD9 427', 'ICD9 079']",5350
"['ICD9 427', 'ICD9 079']",5396
"['ICD9 427', 'ICD9 079']",5443
"['ICD9 427', 'ICD9 079']",5502
"['ICD9 427', 'ICD9 079']",5523
"['ICD9 427', 'ICD9 079']",5695
"['ICD9 427', 'ICD9 079']",5743
"['ICD9 427', 'ICD9 079']",5747
"['ICD9 427', 'ICD9 079']",6123
"['ICD9 427', 'ICD9 079']",6187
"['ICD9 427', 'ICD9 079']",6262
"['ICD9 427', 'ICD9 079']",6310
"['ICD9 427', 'ICD9 079']",6324
"['ICD9 427', 'ICD9 079']",6327
"['ICD9 427', 'ICD9 079']",6331
"['ICD9 427', 'ICD9 079']",6336
"['ICD9 427', 'ICD9 079']",6401
"['ICD9 427', 'ICD9 079']",6442
"['ICD9 427', 'ICD9 079']",6508
"['ICD9 427', 'ICD9 079']",6584
"['ICD9 427', 'ICD9 079']",6586
"['ICD9 427', 'ICD9 079']",6653
"['ICD9 427', 'ICD9 079']",6660
"['ICD9 427', 'ICD9 079']",6665
"['ICD9 427', 'ICD9 079']",6910
"['ICD9 427', 'ICD9 079']",7068
"['ICD9 427', 'ICD9 079']",7124
"['ICD9 427', 'ICD9 079']",7200
"['ICD9 427', 'ICD9 079']",7273
"['ICD9 427', 'ICD9 079']",7450
"['ICD9 427', 'ICD9 079']",7456
"['ICD9 427', 'ICD9 079']",7473
"['ICD9 427', 'ICD9 079']",7478
"['ICD9 427', 'ICD9 079']",7514
"['ICD9 427', 'ICD9 079']",8022
"['ICD9 427', 'ICD9 079']",8082
"['ICD9 427', 'ICD9 079']",8110
"['ICD9 427', 'ICD9 079']",8451
"['ICD9 427', 'ICD9 079']",8497
"['ICD9 427', 'ICD9 079']",8742
"['ICD9 427', 'ICD9 079']",8925
"['ICD9 427', 'ICD9 079']",9026
