edge,protein
"['ICD9 403', 'ICD9 079']",26
"['ICD9 403', 'ICD9 079']",34
"['ICD9 403', 'ICD9 079']",111
"['ICD9 403', 'ICD9 079']",118
"['ICD9 403', 'ICD9 079']",150
"['ICD9 403', 'ICD9 079']",153
"['ICD9 403', 'ICD9 079']",156
"['ICD9 403', 'ICD9 079']",161
"['ICD9 403', 'ICD9 079']",166
"['ICD9 403', 'ICD9 079']",183
"['ICD9 403', 'ICD9 079']",185
"['ICD9 403', 'ICD9 079']",186
"['ICD9 403', 'ICD9 079']",196
"['ICD9 403', 'ICD9 079']",210
"['ICD9 403', 'ICD9 079']",213
"['ICD9 403', 'ICD9 079']",246
"['ICD9 403', 'ICD9 079']",301
"['ICD9 403', 'ICD9 079']",335
"['ICD9 403', 'ICD9 079']",348
"['ICD9 403', 'ICD9 079']",358
"['ICD9 403', 'ICD9 079']",367
"['ICD9 403', 'ICD9 079']",382
"['ICD9 403', 'ICD9 079']",387
"['ICD9 403', 'ICD9 079']",475
"['ICD9 403', 'ICD9 079']",476
"['ICD9 403', 'ICD9 079']",477
"['ICD9 403', 'ICD9 079']",481
"['ICD9 403', 'ICD9 079']",486
"['ICD9 403', 'ICD9 079']",490
"['ICD9 403', 'ICD9 079']",492
"['ICD9 403', 'ICD9 079']",523
"['ICD9 403', 'ICD9 079']",537
"['ICD9 403', 'ICD9 079']",551
"['ICD9 403', 'ICD9 079']",596
"['ICD9 403', 'ICD9 079']",617
"['ICD9 403', 'ICD9 079']",624
"['ICD9 403', 'ICD9 079']",775
"['ICD9 403', 'ICD9 079']",781
"['ICD9 403', 'ICD9 079']",796
"['ICD9 403', 'ICD9 079']",847
"['ICD9 403', 'ICD9 079']",857
"['ICD9 403', 'ICD9 079']",875
"['ICD9 403', 'ICD9 079']",948
"['ICD9 403', 'ICD9 079']",949
"['ICD9 403', 'ICD9 079']",1063
"['ICD9 403', 'ICD9 079']",1071
"['ICD9 403', 'ICD9 079']",1173
"['ICD9 403', 'ICD9 079']",1187
"['ICD9 403', 'ICD9 079']",1215
"['ICD9 403', 'ICD9 079']",1277
"['ICD9 403', 'ICD9 079']",1281
"['ICD9 403', 'ICD9 079']",1285
"['ICD9 403', 'ICD9 079']",1286
"['ICD9 403', 'ICD9 079']",1291
"['ICD9 403', 'ICD9 079']",1312
"['ICD9 403', 'ICD9 079']",1395
"['ICD9 403', 'ICD9 079']",1401
"['ICD9 403', 'ICD9 079']",1459
"['ICD9 403', 'ICD9 079']",1460
"['ICD9 403', 'ICD9 079']",1490
"['ICD9 403', 'ICD9 079']",1535
"['ICD9 403', 'ICD9 079']",1536
"['ICD9 403', 'ICD9 079']",1543
"['ICD9 403', 'ICD9 079']",1636
"['ICD9 403', 'ICD9 079']",1662
"['ICD9 403', 'ICD9 079']",1727
"['ICD9 403', 'ICD9 079']",1786
"['ICD9 403', 'ICD9 079']",1813
"['ICD9 403', 'ICD9 079']",1847
"['ICD9 403', 'ICD9 079']",1861
"['ICD9 403', 'ICD9 079']",1889
