edge,protein
"['ICD9 414', 'ICD9 079']",10
"['ICD9 414', 'ICD9 079']",19
"['ICD9 414', 'ICD9 079']",28
"['ICD9 414', 'ICD9 079']",34
"['ICD9 414', 'ICD9 079']",60
"['ICD9 414', 'ICD9 079']",153
"['ICD9 414', 'ICD9 079']",154
"['ICD9 414', 'ICD9 079']",161
"['ICD9 414', 'ICD9 079']",166
"['ICD9 414', 'ICD9 079']",183
"['ICD9 414', 'ICD9 079']",203
"['ICD9 414', 'ICD9 079']",226
"['ICD9 414', 'ICD9 079']",325
"['ICD9 414', 'ICD9 079']",334
"['ICD9 414', 'ICD9 079']",335
"['ICD9 414', 'ICD9 079']",336
"['ICD9 414', 'ICD9 079']",337
"['ICD9 414', 'ICD9 079']",338
"['ICD9 414', 'ICD9 079']",345
"['ICD9 414', 'ICD9 079']",348
"['ICD9 414', 'ICD9 079']",374
"['ICD9 414', 'ICD9 079']",382
"['ICD9 414', 'ICD9 079']",387
"['ICD9 414', 'ICD9 079']",389
"['ICD9 414', 'ICD9 079']",406
"['ICD9 414', 'ICD9 079']",476
"['ICD9 414', 'ICD9 079']",481
"['ICD9 414', 'ICD9 079']",490
"['ICD9 414', 'ICD9 079']",523
"['ICD9 414', 'ICD9 079']",537
"['ICD9 414', 'ICD9 079']",595
"['ICD9 414', 'ICD9 079']",617
"['ICD9 414', 'ICD9 079']",713
"['ICD9 414', 'ICD9 079']",811
"['ICD9 414', 'ICD9 079']",817
"['ICD9 414', 'ICD9 079']",821
"['ICD9 414', 'ICD9 079']",894
"['ICD9 414', 'ICD9 079']",948
"['ICD9 414', 'ICD9 079']",949
"['ICD9 414', 'ICD9 079']",952
"['ICD9 414', 'ICD9 079']",959
"['ICD9 414', 'ICD9 079']",1000
"['ICD9 414', 'ICD9 079']",1030
"['ICD9 414', 'ICD9 079']",1052
"['ICD9 414', 'ICD9 079']",1063
"['ICD9 414', 'ICD9 079']",1071
"['ICD9 414', 'ICD9 079']",1075
"['ICD9 414', 'ICD9 079']",1153
"['ICD9 414', 'ICD9 079']",1173
"['ICD9 414', 'ICD9 079']",1291
"['ICD9 414', 'ICD9 079']",1312
"['ICD9 414', 'ICD9 079']",1326
"['ICD9 414', 'ICD9 079']",1329
"['ICD9 414', 'ICD9 079']",1375
"['ICD9 414', 'ICD9 079']",1398
"['ICD9 414', 'ICD9 079']",1401
"['ICD9 414', 'ICD9 079']",1432
"['ICD9 414', 'ICD9 079']",1459
"['ICD9 414', 'ICD9 079']",1460
"['ICD9 414', 'ICD9 079']",1499
"['ICD9 414', 'ICD9 079']",1634
"['ICD9 414', 'ICD9 079']",1636
"['ICD9 414', 'ICD9 079']",1662
"['ICD9 414', 'ICD9 079']",1727
"['ICD9 414', 'ICD9 079']",1737
"['ICD9 414', 'ICD9 079']",1786
"['ICD9 414', 'ICD9 079']",1843
"['ICD9 414', 'ICD9 079']",1848
"['ICD9 414', 'ICD9 079']",1861
"['ICD9 414', 'ICD9 079']",1906
"['ICD9 414', 'ICD9 079']",1959
"['ICD9 414', 'ICD9 079']",2006
"['ICD9 414', 'ICD9 079']",2011
"['ICD9 414', 'ICD9 079']",2029
"['ICD9 414', 'ICD9 079']",2040
"['ICD9 414', 'ICD9 079']",2052
"['ICD9 414', 'ICD9 079']",2053
"['ICD9 414', 'ICD9 079']",2056
"['ICD9 414', 'ICD9 079']",2099
"['ICD9 414', 'ICD9 079']",2100
"['ICD9 414', 'ICD9 079']",2108
"['ICD9 414', 'ICD9 079']",2150
"['ICD9 414', 'ICD9 079']",2152
"['ICD9 414', 'ICD9 079']",2171
"['ICD9 414', 'ICD9 079']",2181
"['ICD9 414', 'ICD9 079']",2200
"['ICD9 414', 'ICD9 079']",2201
"['ICD9 414', 'ICD9 079']",2246
"['ICD9 414', 'ICD9 079']",2247
"['ICD9 414', 'ICD9 079']",2628
"['ICD9 414', 'ICD9 079']",2634
"['ICD9 414', 'ICD9 079']",2643
"['ICD9 414', 'ICD9 079']",2671
"['ICD9 414', 'ICD9 079']",2677
"['ICD9 414', 'ICD9 079']",2690
"['ICD9 414', 'ICD9 079']",2697
"['ICD9 414', 'ICD9 079']",2710
"['ICD9 414', 'ICD9 079']",2717
"['ICD9 414', 'ICD9 079']",2729
"['ICD9 414', 'ICD9 079']",2768
"['ICD9 414', 'ICD9 079']",2782
"['ICD9 414', 'ICD9 079']",2784
"['ICD9 414', 'ICD9 079']",2787
"['ICD9 414', 'ICD9 079']",2801
"['ICD9 414', 'ICD9 079']",2802
"['ICD9 414', 'ICD9 079']",2804
"['ICD9 414', 'ICD9 079']",2876
"['ICD9 414', 'ICD9 079']",2920
"['ICD9 414', 'ICD9 079']",2938
"['ICD9 414', 'ICD9 079']",2946
"['ICD9 414', 'ICD9 079']",2950
"['ICD9 414', 'ICD9 079']",2963
"['ICD9 414', 'ICD9 079']",2982
"['ICD9 414', 'ICD9 079']",2992
"['ICD9 414', 'ICD9 079']",3030
"['ICD9 414', 'ICD9 079']",3066
"['ICD9 414', 'ICD9 079']",3082
"['ICD9 414', 'ICD9 079']",3097
"['ICD9 414', 'ICD9 079']",3098
"['ICD9 414', 'ICD9 079']",3099
"['ICD9 414', 'ICD9 079']",3146
"['ICD9 414', 'ICD9 079']",3156
"['ICD9 414', 'ICD9 079']",3158
"['ICD9 414', 'ICD9 079']",3162
"['ICD9 414', 'ICD9 079']",3164
"['ICD9 414', 'ICD9 079']",3281
"['ICD9 414', 'ICD9 079']",3303
"['ICD9 414', 'ICD9 079']",3306
"['ICD9 414', 'ICD9 079']",3313
"['ICD9 414', 'ICD9 079']",3383
"['ICD9 414', 'ICD9 079']",3397
"['ICD9 414', 'ICD9 079']",3399
"['ICD9 414', 'ICD9 079']",3416
"['ICD9 414', 'ICD9 079']",3459
"['ICD9 414', 'ICD9 079']",3479
"['ICD9 414', 'ICD9 079']",3486
"['ICD9 414', 'ICD9 079']",3552
"['ICD9 414', 'ICD9 079']",3553
"['ICD9 414', 'ICD9 079']",3569
"['ICD9 414', 'ICD9 079']",3572
"['ICD9 414', 'ICD9 079']",3615
"['ICD9 414', 'ICD9 079']",3627
"['ICD9 414', 'ICD9 079']",3654
"['ICD9 414', 'ICD9 079']",3659
"['ICD9 414', 'ICD9 079']",3667
"['ICD9 414', 'ICD9 079']",3688
"['ICD9 414', 'ICD9 079']",3717
"['ICD9 414', 'ICD9 079']",3726
"['ICD9 414', 'ICD9 079']",3764
"['ICD9 414', 'ICD9 079']",3791
"['ICD9 414', 'ICD9 079']",3949
"['ICD9 414', 'ICD9 079']",3988
"['ICD9 414', 'ICD9 079']",3990
"['ICD9 414', 'ICD9 079']",4015
"['ICD9 414', 'ICD9 079']",4018
"['ICD9 414', 'ICD9 079']",4023
"['ICD9 414', 'ICD9 079']",4049
"['ICD9 414', 'ICD9 079']",4139
"['ICD9 414', 'ICD9 079']",4140
"['ICD9 414', 'ICD9 079']",4205
"['ICD9 414', 'ICD9 079']",4218
"['ICD9 414', 'ICD9 079']",4223
"['ICD9 414', 'ICD9 079']",4240
"['ICD9 414', 'ICD9 079']",4254
"['ICD9 414', 'ICD9 079']",4314
"['ICD9 414', 'ICD9 079']",4329
"['ICD9 414', 'ICD9 079']",4343
"['ICD9 414', 'ICD9 079']",4363
"['ICD9 414', 'ICD9 079']",4478
"['ICD9 414', 'ICD9 079']",4599
"['ICD9 414', 'ICD9 079']",4691
"['ICD9 414', 'ICD9 079']",4715
"['ICD9 414', 'ICD9 079']",4734
"['ICD9 414', 'ICD9 079']",4758
"['ICD9 414', 'ICD9 079']",4792
"['ICD9 414', 'ICD9 079']",4846
"['ICD9 414', 'ICD9 079']",4878
"['ICD9 414', 'ICD9 079']",4879
"['ICD9 414', 'ICD9 079']",4884
"['ICD9 414', 'ICD9 079']",4927
"['ICD9 414', 'ICD9 079']",4928
"['ICD9 414', 'ICD9 079']",5034
"['ICD9 414', 'ICD9 079']",5037
"['ICD9 414', 'ICD9 079']",5046
"['ICD9 414', 'ICD9 079']",5069
"['ICD9 414', 'ICD9 079']",5116
"['ICD9 414', 'ICD9 079']",5142
"['ICD9 414', 'ICD9 079']",5160
"['ICD9 414', 'ICD9 079']",5166
"['ICD9 414', 'ICD9 079']",5175
"['ICD9 414', 'ICD9 079']",5209
"['ICD9 414', 'ICD9 079']",5213
"['ICD9 414', 'ICD9 079']",5236
"['ICD9 414', 'ICD9 079']",5318
"['ICD9 414', 'ICD9 079']",5320
"['ICD9 414', 'ICD9 079']",5327
"['ICD9 414', 'ICD9 079']",5352
"['ICD9 414', 'ICD9 079']",5422
"['ICD9 414', 'ICD9 079']",5443
"['ICD9 414', 'ICD9 079']",5444
"['ICD9 414', 'ICD9 079']",5445
"['ICD9 414', 'ICD9 079']",5447
"['ICD9 414', 'ICD9 079']",5471
"['ICD9 414', 'ICD9 079']",5495
"['ICD9 414', 'ICD9 079']",5515
"['ICD9 414', 'ICD9 079']",5534
"['ICD9 414', 'ICD9 079']",5538
"['ICD9 414', 'ICD9 079']",5557
"['ICD9 414', 'ICD9 079']",5558
"['ICD9 414', 'ICD9 079']",5566
"['ICD9 414', 'ICD9 079']",5576
"['ICD9 414', 'ICD9 079']",5577
"['ICD9 414', 'ICD9 079']",5581
"['ICD9 414', 'ICD9 079']",5693
"['ICD9 414', 'ICD9 079']",5714
"['ICD9 414', 'ICD9 079']",5743
"['ICD9 414', 'ICD9 079']",5786
"['ICD9 414', 'ICD9 079']",5817
"['ICD9 414', 'ICD9 079']",5834
"['ICD9 414', 'ICD9 079']",5861
"['ICD9 414', 'ICD9 079']",5862
"['ICD9 414', 'ICD9 079']",5868
"['ICD9 414', 'ICD9 079']",5878
"['ICD9 414', 'ICD9 079']",5898
"['ICD9 414', 'ICD9 079']",5910
"['ICD9 414', 'ICD9 079']",5962
"['ICD9 414', 'ICD9 079']",5976
"['ICD9 414', 'ICD9 079']",6046
"['ICD9 414', 'ICD9 079']",6139
"['ICD9 414', 'ICD9 079']",6252
"['ICD9 414', 'ICD9 079']",6258
"['ICD9 414', 'ICD9 079']",6262
"['ICD9 414', 'ICD9 079']",6272
"['ICD9 414', 'ICD9 079']",6347
"['ICD9 414', 'ICD9 079']",6348
"['ICD9 414', 'ICD9 079']",6351
"['ICD9 414', 'ICD9 079']",6376
"['ICD9 414', 'ICD9 079']",6387
"['ICD9 414', 'ICD9 079']",6388
"['ICD9 414', 'ICD9 079']",6401
"['ICD9 414', 'ICD9 079']",6403
"['ICD9 414', 'ICD9 079']",6533
"['ICD9 414', 'ICD9 079']",6546
"['ICD9 414', 'ICD9 079']",6648
"['ICD9 414', 'ICD9 079']",6678
"['ICD9 414', 'ICD9 079']",6728
"['ICD9 414', 'ICD9 079']",6729
"['ICD9 414', 'ICD9 079']",6731
"['ICD9 414', 'ICD9 079']",6776
"['ICD9 414', 'ICD9 079']",6817
"['ICD9 414', 'ICD9 079']",6890
"['ICD9 414', 'ICD9 079']",6902
"['ICD9 414', 'ICD9 079']",6921
"['ICD9 414', 'ICD9 079']",6923
